region,capacity_scenario,lifetime_scenario,price_scenario,year,annual_material_tonnes,gross_benchmark_value_real_2026_usd,quality_adjusted_gross_value_real_2026_usd,present_value_3pct_real_2026_usd,present_value_5pct_real_2026_usd,present_value_7pct_real_2026_usd
Gujarat,High,Early_Loss,Reference,2075,110946.27166797312,338368764.0990862,290793480.64292175,68322013.24209574,26626189.05590023,10562812.219554245
Gujarat,High,Early_Loss,Upside,2045,231423.54821429495,874621141.2510228,755604443.7270694,430910656.0545448,299018336.45547813,208930925.15055442
Gujarat,High,Early_Loss,Upside,2060,298996.6868736237,1130000924.8044627,976232656.549624,357344984.8921968,185830571.72020492,97837397.11192031
Gujarat,High,Early_Loss,Upside,2075,110946.27166797312,419300263.4888941,362242721.3398541,85109033.22012538,33168361.13792538,13158141.767668035
Gujarat,High,Fixed_25,Downside,2045,31533.21446197411,77977472.02947925,66540853.50418275,37947318.965574704,26332475.26047549,18399100.479560032
Gujarat,High,Fixed_25,Downside,2060,421113.0329942322,1041356877.5601814,888625568.7938843,325276857.2379024,169154142.08515126,89057472.18616417
Gujarat,High,Fixed_25,Downside,2075,1145.3286802533291,2832246.4630655735,2416853.1254172875,567840.3479812666,221296.53008529526,87790.02084085062
Gujarat,High,Fixed_25,Reference,2045,31533.21446197411,96171368.76398236,82649493.77207576,47133851.42129399,32707211.215846542,22853273.747106403
Gujarat,High,Fixed_25,Reference,2060,421113.0329942322,1284328841.1413026,1103749794.990542,404021983.04827076,210104071.05626792,110617081.16419789
Gujarat,High,Fixed_25,Reference,2075,1145.3286802533291,3493073.216415515,3001940.564598282,705306.8127697054,274869.4256516694,109042.79699809058
Gujarat,High,Fixed_25,Upside,2045,31533.21446197411,119173767.02956223,102956838.90562077,58714846.592601836,40743517.26204713,28468423.897858713
Gujarat,High,Fixed_25,Upside,2060,421113.0329942322,1591516353.2625513,1374945987.5499868,503291966.16427803,261727567.9486838,137796185.86702287
Gujarat,High,Fixed_25,Upside,2075,1145.3286802533291,4328551.200429732,3739530.600948667,878603.807321827,342406.05580648896,135835.0931381483
Gujarat,High,Regular_Loss,Downside,2045,114567.4280554305,283310108.6936388,241758240.5301708,137871346.44099268,95671945.16638765,66848168.08063103
Gujarat,High,Regular_Loss,Downside,2060,550071.3844431317,1360253837.944625,1160751291.4109032,424887090.0906422,220954579.48541763,116329733.78223607
Gujarat,High,Regular_Loss,Downside,2075,33450.47496610668,82718603.87680516,70586624.05157445,16584347.945160482,6463187.526280342,2563995.772603304
Gujarat,High,Regular_Loss,Reference,2045,114567.4280554305,349412724.3242694,300284639.3274821,171248133.8747216,118832828.5523822,83031205.04920317
Gujarat,High,Regular_Loss,Reference,2060,550071.3844431317,1677631629.4549725,1441753472.9151592,527746505.44683033,274444693.43850106,144491588.27122316
Gujarat,High,Regular_Loss,Reference,2075,33450.47496610668,102018713.22618118,87674690.62559791,20599194.17957747,8027837.772887695,3184704.4556782627
Gujarat,High,Regular_Loss,Upside,2045,114567.4280554305,432985733.0821339,374065899.57260597,213324555.63308984,148030578.62286034,103432338.32702127
Gujarat,High,Regular_Loss,Upside,2060,550071.3844431317,2078889835.297514,1795998659.8574574,657416149.385436,341876965.01532453,179993808.76890254
Gujarat,High,Regular_Loss,Upside,2075,33450.47496610668,126419687.26170377,109216748.78896376,25660507.039293073,10000312.919314057,3967200.386120945
Gujarat,Medium,Early_Loss,Downside,2045,169126.42799062122,418227305.17968184,356887715.40182215,203528077.23449004,141232587.82659525,98682427.25780465
Gujarat,Medium,Early_Loss,Downside,2060,191640.48508528198,473901592.9845636,404396496.2375721,148027274.92155635,76978814.00841635,40528351.85098456
Gujarat,Medium,Early_Loss,Downside,2075,63129.61436209983,156111193.29710954,133215039.84662446,31298912.53519383,12197690.361569816,4838916.772168638
Gujarat,Medium,Early_Loss,Reference,2045,169126.42799062122,515809134.9562615,443285402.24659264,252799470.7909351,175423086.3187617,122572107.62324466
Gujarat,Medium,Early_Loss,Reference,2060,191640.48508528198,584473485.3616093,502295416.080521,183862675.2203812,95614343.27815549,50339717.44425978
Gujarat,Medium,Early_Loss,Reference,2075,63129.61436209983,192535443.22501057,165464598.45842394,38875955.753823295,15150586.150941117,6010353.047241947
Gujarat,Medium,Early_Loss,Upside,2045,169126.42799062122,639181062.6284788,552202580.6253102,314913415.7000996,218525312.30565998,152688615.05298808
Gujarat,Medium,Early_Loss,Upside,2060,191640.48508528198,724268645.3842709,625711615.1134429,229038545.42200458,119107209.11495477,62708408.03642292
Gujarat,Medium,Early_Loss,Upside,2075,63129.61436209983,238586331.36585072,206119980.05755392,48427949.539368376,18873151.98771601,7487123.298749935
Gujarat,Medium,Fixed_25,Downside,2045,31533.21446197411,77977472.02947925,66540853.50418275,37947318.965574704,26332475.26047549,18399100.479560032
Gujarat,Medium,Fixed_25,Downside,2060,162618.15638725503,402133209.6181991,343154071.22015285,125609797.59605908,65321024.46597004,34390676.148039386
Gujarat,Medium,Fixed_25,Downside,2075,272.42245643853215,673664.7322382679,574861.2399470273,135063.81629049216,52636.544746111904,20881.318647293985
