region,capacity_scenario,lifetime_scenario,price_scenario,material,full_period_material_tonnes,full_period_gross_benchmark_value_real_2026_usd,full_period_quality_adjusted_value_real_2026_usd,full_period_present_value_3pct_real_2026_usd,full_period_present_value_5pct_real_2026_usd,full_period_present_value_7pct_real_2026_usd
India,Medium,Regular_Loss,Upside,Glass,61822938.78343417,41830954044.000145,29281667830.8001,10631515583.665207,5674739395.223539,3145230871.4087167
India,Medium,Regular_Loss,Upside,Polymers,7948663.557870107,12025385186.268118,7215231111.76087,2619549778.9664984,1398135382.8956053,774838913.0312016
India,Medium,Regular_Loss,Upside,Silicon,3091146.939171708,10586809450.507849,7940107087.880887,2882722042.42015,1538598624.436464,852682866.2905438
India,Medium,Regular_Loss,Upside,Silver,48575.16618698398,115732292377.65398,109945677758.77129,39914693094.5253,21302407078.04103,11804533909.459795
Karnataka,Conservative,Early_Loss,Downside,Aluminium,191455.40756397042,498686942.5133131,398949554.0106505,191180814.52488947,126809173.88469829,89034742.64325383
Karnataka,Conservative,Early_Loss,Downside,Copper,44182.01713014702,494412650.659948,454859638.60715216,217973514.01749074,144580622.851694,101512360.28480452
Karnataka,Conservative,Early_Loss,Downside,Glass,1030913.7330367638,584365710.18902,409055997.132314,195475248.23346603,129334467.96370368,90542913.88128462
Karnataka,Conservative,Early_Loss,Downside,Polymers,132546.05139044108,140756260.29915875,84453756.17949525,40471126.571685,26844273.78077886,18847792.58707162
Karnataka,Conservative,Early_Loss,Downside,Silicon,51545.686651838194,123917835.78416288,92938376.83812216,44537045.86434748,29541175.495868377,20741330.276667118
Karnataka,Conservative,Early_Loss,Downside,Silver,810.0036473860288,1135178057.7164762,1078419154.8306522,518333609.80285084,344718660.40679,242780049.30995044
Karnataka,Conservative,Early_Loss,Reference,Aluminium,191455.40756397042,594516904.3380193,475613523.4704154,226682784.91498435,149629874.93561724,104461618.20394903
Karnataka,Conservative,Early_Loss,Reference,Copper,44182.01713014702,589421245.0290089,542267545.4266882,258450845.69800004,170599490.9728142,119101208.22769003
Karnataka,Conservative,Early_Loss,Reference,Glass,1030913.7330367638,637816017.4925154,446471212.2447608,212793229.75833517,140461589.82839033,98060931.85125253
Karnataka,Conservative,Early_Loss,Reference,Polymers,132546.05139044108,167804626.52081227,100682775.91248737,47986549.81523797,31675195.141698617,22113512.711625475
Karnataka,Conservative,Early_Loss,Reference,Silicon,51545.686651838194,147730453.4010348,110797840.0507761,52807503.79428016,34857433.886581644,24335139.969850607
Karnataka,Conservative,Early_Loss,Reference,Silver,810.0036473860288,1479250296.0537872,1405287781.251098,669776051.6492405,442109033.02927727,308651096.79930735
Karnataka,Conservative,Early_Loss,Upside,Aluminium,191455.40756397042,706720232.1035905,565376185.6828724,268170202.84825256,176251601.09409702,122420503.47805303
Karnataka,Conservative,Early_Loss,Upside,Copper,44182.01713014702,700662867.7068716,644609838.290322,305752444.95575106,200952072.1896901,139576909.93845868
Karnataka,Conservative,Early_Loss,Upside,Glass,1030913.7330367638,695653242.7848899,486957269.9494229,231514449.0213953,152479839.14481157,106172571.48394863
Karnataka,Conservative,Early_Loss,Upside,Polymers,132546.05139044108,199474436.70233914,119684662.02140348,56769034.32594762,37310756.699452676,25915234.766324703
Karnataka,Conservative,Early_Loss,Upside,Silicon,51545.686651838194,175611659.74346772,131708744.80760078,62472317.912156865,41059170.40420672,28518800.86235714
Karnataka,Conservative,Early_Loss,Upside,Silver,810.0036473860288,1915144538.0085256,1819387311.1080995,861077886.6788311,564811459.0352283,391383139.6197566
Karnataka,Conservative,Fixed_25,Downside,Aluminium,218261.00052678087,565076691.0823569,452061352.86588556,203584904.323836,126045982.31524451,80779870.67682275
Karnataka,Conservative,Fixed_25,Downside,Copper,50367.92319848789,560233366.5608704,515414697.23600084,232115953.1967782,143710475.14008504,92100623.78415683
Karnataka,Conservative,Fixed_25,Downside,Glass,1175251.541298051,664233350.4820802,464963345.3374561,209395290.20676902,129643379.66981435,83085357.03773272
Karnataka,Conservative,Fixed_25,Downside,Polymers,151103.76959546367,159495015.88735136,95697009.53241082,43096952.23053717,26682713.518141806,17100316.152175516
Karnataka,Conservative,Fixed_25,Downside,Silicon,58762.57706490254,140414906.91152853,105311180.1836464,47426674.29099719,29363384.13109929,18818294.158807106
Karnataka,Conservative,Fixed_25,Downside,Silver,923.4119253056114,1282022884.9298224,1217921740.6833315,548488561.2960063,339586963.61523855,217633204.17279312
Karnataka,Conservative,Fixed_25,Reference,Aluminium,218261.00052678087,677754971.8857863,542203977.5086291,244180450.69613752,151179994.76629296,96887661.16797425
Karnataka,Conservative,Fixed_25,Reference,Copper,50367.92319848789,671945871.4102273,618190201.6974092,278400691.1199894,172366849.6247808,110465812.28457886
Karnataka,Conservative,Fixed_25,Reference,Glass,1175251.541298051,727116376.0856912,508981463.25998384,229218759.4526166,141916729.0239214,90951054.58227336
Karnataka,Conservative,Fixed_25,Reference,Polymers,151103.76959546367,191298883.34555298,114779330.00733179,51690636.17085865,32003340.494695783,20510179.37185914
Karnataka,Conservative,Fixed_25,Reference,Silicon,58762.57706490254,168414133.49378136,126310600.12033601,56883720.0472075,35218546.26161575,22570728.23887176
Karnataka,Conservative,Fixed_25,Reference,Silver,923.4119253056114,1686359522.3256323,1602041546.2093508,721476128.9373068,446689147.66022533,286272445.32465434
Karnataka,Conservative,Fixed_25,Upside,Aluminium,218261.00052678087,809979930.2475265,647983944.1980213,291818242.02980053,180674088.26955658,115789723.85304248
Karnataka,Conservative,Fixed_25,Upside,Copper,50367.92319848789,803037517.4388057,738794516.0437013,332714597.05681473,205994341.06341493,132016871.3481274
Karnataka,Conservative,Fixed_25,Upside,Glass,1175251.541298051,795236472.0525435,556665530.4367803,250693181.4363059,155212236.481,99471828.93174383
