material,price_scenario,year,base_price_usd_t,annual_real_growth_rate,price_real_2026_usd_t,quality_discount,quality_factor,quality_adjusted_price_real_2026_usd_t
Aluminium,Reference,2065,2338.0,0.01,3766.0602718309183,0.1,0.9,3389.4542446478267
Aluminium,Reference,2066,2338.0,0.01,3803.7208745492276,0.1,0.9,3423.348787094305
Aluminium,Reference,2067,2338.0,0.01,3841.75808329472,0.1,0.9,3457.582274965248
Aluminium,Reference,2068,2338.0,0.01,3880.1756641276675,0.1,0.9,3492.1580977149006
Aluminium,Reference,2069,2338.0,0.01,3918.9774207689443,0.1,0.9,3527.07967869205
Aluminium,Reference,2070,2338.0,0.01,3958.1671949766337,0.1,0.9,3562.3504754789706
Aluminium,Reference,2071,2338.0,0.01,3997.7488669264003,0.1,0.9,3597.9739802337604
Aluminium,Reference,2072,2338.0,0.01,4037.7263555956642,0.1,0.9,3633.953720036098
Aluminium,Reference,2073,2338.0,0.01,4078.103619151621,0.1,0.9,3670.293257236459
Aluminium,Reference,2074,2338.0,0.01,4118.884655343137,0.1,0.9,3706.996189808823
Aluminium,Reference,2075,2338.0,0.01,4160.073501896568,0.1,0.9,3744.066151706911
Aluminium,Upside,2026,2338.0,0.0,2338.0,0.1,0.9,2104.2000000000003
Aluminium,Upside,2027,2338.0,0.04,2431.52,0.1,0.9,2188.368
Aluminium,Upside,2028,2338.0,0.04,2528.7808,0.1,0.9,2275.90272
Aluminium,Upside,2029,2338.0,0.04,2629.932032,0.1,0.9,2366.9388288
Aluminium,Upside,2030,2338.0,0.04,2735.12931328,0.1,0.9,2461.616381952
Aluminium,Upside,2031,2338.0,0.04,2844.5344858112003,0.1,0.9,2560.0810372300803
Aluminium,Upside,2032,2338.0,0.04,2958.315865243648,0.1,0.9,2662.4842787192833
Aluminium,Upside,2033,2338.0,0.04,3076.6484998533942,0.1,0.9,2768.9836498680547
Aluminium,Upside,2034,2338.0,0.04,3199.7144398475302,0.1,0.9,2879.742995862777
Aluminium,Upside,2035,2338.0,0.04,3327.7030174414317,0.1,0.9,2994.9327156972886
Aluminium,Upside,2036,2338.0,0.02,3394.2570777902606,0.1,0.9,3054.8313700112344
Aluminium,Upside,2037,2338.0,0.02,3462.1422193460658,0.1,0.9,3115.9279974114593
Aluminium,Upside,2038,2338.0,0.02,3531.385063732987,0.1,0.9,3178.2465573596883
Aluminium,Upside,2039,2338.0,0.02,3602.012765007647,0.1,0.9,3241.811488506882
Aluminium,Upside,2040,2338.0,0.02,3674.0530203078,0.1,0.9,3306.64771827702
Aluminium,Upside,2041,2338.0,0.02,3747.534080713956,0.1,0.9,3372.7806726425606
Aluminium,Upside,2042,2338.0,0.02,3822.4847623282353,0.1,0.9,3440.2362860954117
Aluminium,Upside,2043,2338.0,0.02,3898.9344575748,0.1,0.9,3509.04101181732
Aluminium,Upside,2044,2338.0,0.02,3976.913146726296,0.1,0.9,3579.2218320536663
Aluminium,Upside,2045,2338.0,0.02,4056.451409660822,0.1,0.9,3650.8062686947396
Aluminium,Upside,2046,2338.0,0.02,4137.580437854038,0.1,0.9,3723.8223940686344
Aluminium,Upside,2047,2338.0,0.02,4220.332046611119,0.1,0.9,3798.298841950007
Aluminium,Upside,2048,2338.0,0.02,4304.738687543341,0.1,0.9,3874.264818789007
Aluminium,Upside,2049,2338.0,0.02,4390.833461294208,0.1,0.9,3951.7501151647875
Aluminium,Upside,2050,2338.0,0.02,4478.650130520093,0.1,0.9,4030.7851174680836
Aluminium,Upside,2051,2338.0,0.02,4568.223133130495,0.1,0.9,4111.400819817445
Aluminium,Upside,2052,2338.0,0.02,4659.587595793105,0.1,0.9,4193.628836213795
Aluminium,Upside,2053,2338.0,0.02,4752.779347708967,0.1,0.9,4277.501412938071
Aluminium,Upside,2054,2338.0,0.02,4847.834934663147,0.1,0.9,4363.0514411968325
Aluminium,Upside,2055,2338.0,0.02,4944.79163335641,0.1,0.9,4450.312470020769
Aluminium,Upside,2056,2338.0,0.02,5043.687466023538,0.1,0.9,4539.318719421184
Aluminium,Upside,2057,2338.0,0.02,5144.561215344009,0.1,0.9,4630.105093809608
Aluminium,Upside,2058,2338.0,0.02,5247.452439650889,0.1,0.9,4722.7071956858
Aluminium,Upside,2059,2338.0,0.02,5352.401488443907,0.1,0.9,4817.161339599516
Aluminium,Upside,2060,2338.0,0.02,5459.449518212785,0.1,0.9,4913.504566391506
Aluminium,Upside,2061,2338.0,0.02,5568.638508577041,0.1,0.9,5011.774657719337
Aluminium,Upside,2062,2338.0,0.02,5680.011278748581,0.1,0.9,5112.010150873723
Aluminium,Upside,2063,2338.0,0.02,5793.611504323553,0.1,0.9,5214.250353891198
Aluminium,Upside,2064,2338.0,0.02,5909.483734410024,0.1,0.9,5318.535360969022
Aluminium,Upside,2065,2338.0,0.02,6027.6734090982245,0.1,0.9,5424.906068188402
