region,capacity_scenario,lifetime_scenario,price_scenario,selected_year_snapshot_material_tonnes,selected_year_snapshot_gross_benchmark_value_real_2026_usd,selected_year_snapshot_quality_adjusted_value_real_2026_usd,selected_year_snapshot_present_value_3pct_real_2026_usd,selected_year_snapshot_present_value_5pct_real_2026_usd,selected_year_snapshot_present_value_7pct_real_2026_usd
Rajasthan,Medium,Fixed_25,Downside,1738004.6255603358,4297855749.535666,3667507837.4411387,1386767626.9061413,744149890.7067032,407995422.90499914
Rajasthan,Medium,Fixed_25,Reference,1738004.6255603358,5300642088.355178,4555361859.772003,1722485305.0027483,924298510.1414186,506765594.19699156
Rajasthan,Medium,Fixed_25,Upside,1738004.6255603358,6568456843.897106,5674634359.488542,2145707541.2164745,1151402730.569263,631280135.7082101
Rajasthan,Medium,Regular_Loss,Downside,1546140.940060892,3823402211.4243774,3262640347.4810987,1213892755.749178,655136607.2692566,365309232.2306283
Rajasthan,Medium,Regular_Loss,Reference,1546140.940060892,4715487876.664049,4052481428.7618303,1507759766.7116334,813736315.2240843,453745654.3479591
Rajasthan,Medium,Regular_Loss,Upside,1546140.940060892,5843344655.137633,5048193988.697104,1878222991.1510234,1013674916.742026,565232962.801425
Tamil Nadu,Conservative,Early_Loss,Downside,84768.73486105286,209621878.5298007,178877544.3406255,80386858.31090172,49697442.82636831,31772094.704624232
Tamil Nadu,Conservative,Early_Loss,Reference,84768.73486105286,258531373.9520418,222181377.430264,99847428.99196461,61728521.27765123,39463688.92383646
Tamil Nadu,Conservative,Early_Loss,Upside,84768.73486105286,320367258.2097234,276772321.7639994,124380382.65806459,76895491.20036557,49160091.341366686
Tamil Nadu,Conservative,Fixed_25,Downside,109681.95922712857,271228989.9301457,231449007.19795507,125075193.38253568,84643013.77189559,58036621.76149317
Tamil Nadu,Conservative,Fixed_25,Reference,109681.95922712857,334512809.0353238,287479680.09995615,155354205.30578622,105133942.09995,72086502.59539165
Tamil Nadu,Conservative,Fixed_25,Upside,109681.95922712857,414522035.86926836,358114705.38843954,193525418.71687326,130965815.35209036,89798474.21026683
Tamil Nadu,Conservative,Regular_Loss,Downside,94798.11040576785,234423198.79971004,200041362.24647477,89639766.62362023,54687011.030905485,34367737.25765558
Tamil Nadu,Conservative,Regular_Loss,Reference,94798.11040576785,289119399.63988876,248468669.28312367,111340341.2059257,67925996.43057092,42687701.41727126
Tamil Nadu,Conservative,Regular_Loss,Upside,94798.11040576785,358271369.31958795,309518517.16143966,138697154.09083796,84615713.33143352,53176257.92348341
Tamil Nadu,High,Early_Loss,Downside,264113.52015911153,653117830.903342,557327863.7537682,225466944.10495192,131552532.59511194,80168007.25559784
Tamil Nadu,High,Early_Loss,Reference,264113.52015911153,805504899.394429,692249398.3553402,280049440.4755388,163399620.69673535,99575597.05744919
Tamil Nadu,High,Early_Loss,Upside,264113.52015911153,998166652.4596065,862338128.5979977,348858823.1182959,203547628.15253,124041760.41836295
Tamil Nadu,High,Fixed_25,Downside,331142.0077494796,818870422.4305747,698770239.656678,293897503.8763318,171913147.58448854,103780334.31451416
Tamil Nadu,High,Fixed_25,Reference,331142.0077494796,1009931295.7429138,867933059.605046,365046112.8324511,213530994.45484233,128904148.99851266
Tamil Nadu,High,Fixed_25,Upside,331142.0077494796,1251488031.2258341,1081188040.244363,454739552.7389424,265996501.54024243,160576466.92072037
Tamil Nadu,High,Regular_Loss,Downside,286021.48831661534,707293340.8655295,603557686.0099385,231535496.70996678,128310306.96453582,73750652.33808762
Tamil Nadu,High,Regular_Loss,Reference,286021.48831661534,872320773.4019969,749670835.043184,287587107.5525347,159372496.1116093,91604687.347753
Tamil Nadu,High,Regular_Loss,Upside,286021.48831661534,1080963637.7286427,933868265.5290608,358248528.23991007,198531021.29578272,114112363.03843963
Tamil Nadu,Medium,Early_Loss,Downside,175451.10060380877,433867384.7023443,370233932.1132054,155652427.9654695,92829652.02873456,57628294.674075685
Tamil Nadu,Medium,Early_Loss,Reference,175451.10060380877,535098396.5355975,459862557.4359066,193333774.6401446,115302454.7052222,71579325.04519147
Tamil Nadu,Medium,Early_Loss,Upside,175451.10060380877,663083955.9237752,572852815.9558055,240836735.7401303,143632776.35124528,89166680.89914854
Tamil Nadu,Medium,Fixed_25,Downside,206859.45284728362,511536088.96689093,436511303.4849406,199528807.35561967,123219129.91765058,78291300.87341554
Tamil Nadu,Medium,Fixed_25,Reference,206859.45284728362,630888955.0756662,542184783.6164507,247832031.78858188,153048813.99048012,97244565.45388791
Tamil Nadu,Medium,Fixed_25,Upside,206859.45284728362,781785830.0241796,675401976.1792885,308725455.0266905,190653582.58779848,121137984.0691259
Tamil Nadu,Medium,Regular_Loss,Downside,192194.73560976243,475272181.2835179,405566066.27929884,164215560.19203776,94088728.53572306,55798537.1228159
Tamil Nadu,Medium,Regular_Loss,Reference,192194.73560976243,586163862.7140901,503748123.20387685,203969925.3108709,116866336.59796603,69306607.94925357
Tamil Nadu,Medium,Regular_Loss,Upside,192194.73560976243,726363329.4818944,627521258.7839637,254086235.53987208,145580910.9223132,86335547.18924572
