region,capacity_scenario,lifetime_scenario,price_scenario,full_period_material_tonnes,full_period_gross_benchmark_value_real_2026_usd,full_period_quality_adjusted_value_real_2026_usd,full_period_present_value_3pct_real_2026_usd,full_period_present_value_5pct_real_2026_usd,full_period_present_value_7pct_real_2026_usd
Gujarat,High,Fixed_25,Reference,10179404.586675677,39585131300.487045,34954226811.48845,14867253886.859938,8605781633.088758,5070566726.653745
Gujarat,High,Fixed_25,Upside,10179404.586675677,63115254727.09904,56151383805.91415,23704999152.807762,13653743587.645237,8005047545.8556
Gujarat,High,Regular_Loss,Downside,10106041.410835389,24991001797.39451,21739606615.155758,8647353245.827923,4871942927.5556555,2833061314.4642644
Gujarat,High,Regular_Loss,Reference,10106041.410835389,40888914029.306816,36154148948.550606,14094691995.858143,7832709091.870738,4491599966.640579
Gujarat,High,Regular_Loss,Upside,10106041.410835389,68238773448.283,60830163258.62971,23252838863.434956,12749656100.77352,7211943105.092822
Gujarat,Medium,Early_Loss,Downside,6363833.751824863,15738599574.66242,13690643103.189535,6313168276.467933,4024486232.855741,2691857475.229257
Gujarat,Medium,Early_Loss,Reference,6363833.751824863,24583612198.26883,21705686732.68916,9581499078.081406,5936206617.82626,3863400258.399096
Gujarat,Medium,Early_Loss,Upside,6363833.751824863,39511048225.31742,35168565744.46337,14873271106.554747,8955841863.155674,5669582725.766972
Gujarat,Medium,Fixed_25,Downside,6787275.320127933,16784034880.740707,14600400722.655548,6517494522.068469,3890427792.205589,2361383697.7074633
Gujarat,Medium,Fixed_25,Reference,6787275.320127933,25940270151.288296,22892315637.633907,10149106533.447489,6030519571.478421,3643438654.8012204
Gujarat,Medium,Fixed_25,Upside,6787275.320127933,40619010861.89891,36108978014.16339,15899790986.862617,9404888390.054607,5656318746.541376
Gujarat,Medium,Regular_Loss,Downside,6763477.42401633,16725282513.731203,14549272842.821224,6018303440.431252,3476696276.158269,2071138010.3711758
Gujarat,Medium,Regular_Loss,Reference,6763477.42401633,26918131058.0908,23788298473.135437,9646766212.612919,5498131055.502513,3230802937.1566772
Gujarat,Medium,Regular_Loss,Upside,6763477.42401633,44166941751.636696,39343670094.42538,15647800602.820528,8801303069.098637,5102915967.567955
India,Conservative,Early_Loss,Downside,51592732.279919945,127591670739.04457,110989827803.82047,47921268963.27653,29319014064.343052,18887541077.14407
India,Conservative,Early_Loss,Reference,51592732.279919945,204859183201.10165,181040602328.07562,74833091621.30992,44449218541.46176,27811938921.41773
India,Conservative,Early_Loss,Upside,51592732.279919945,338447046446.92615,301599494816.93207,119547539808.1074,68978184767.73262,41926276186.40592
India,Conservative,Fixed_25,Downside,57996452.29266353,143417561882.68655,124758670309.73805,50755656873.74447,28786921821.77036,16736050323.01186
India,Conservative,Fixed_25,Reference,57996452.29266353,231537820888.79236,204633428653.90656,82074715660.35178,46114736087.15458,26560673905.95634
