region,capacity_scenario,lifetime_scenario,price_scenario,year,material,annual_material_tonnes,cumulative_material_tonnes,base_price_usd_t,annual_real_growth_rate,price_real_2026_usd_t,quality_discount,quality_factor,quality_adjusted_price_real_2026_usd_t,gross_benchmark_value_real_2026_usd,quality_adjusted_gross_value_real_2026_usd,discount_factor_3pct,present_value_3pct_real_2026_usd,discount_factor_5pct,present_value_5pct_real_2026_usd,discount_factor_7pct,present_value_7pct_real_2026_usd,cumulative_quality_adjusted_value_real_2026_usd,cumulative_present_value_3pct_real_2026_usd,cumulative_present_value_5pct_real_2026_usd,cumulative_present_value_7pct_real_2026_usd,source_range,raw_midpoint_weight_percent,normalized_weight_percent
Gujarat,Medium,Fixed_25,Reference,2060,Polymers,14850.219750243976,590452.246600093,1600.0,0.005,1982.2749398944384,0.4,0.6,1189.364963936663,29437218.46283408,17662331.077700444,0.3660448997426385,6465206.208558147,0.19035479962020585,3362109.4931214023,0.1002193446977227,1770107.2464413608,678611826.7508562,305945460.11809087,183512105.7863192,111798781.97479054,8-10%,9.0,9.101941747572816
Gujarat,Medium,Fixed_25,Reference,2075,Polymers,24.87750096846217,619811.0484617867,1600.0,0.005,2136.2634838776885,0.4,0.6,1281.758090326613,53144.89688905756,31886.938133434534,0.2349502921834461,7491.845431285913,0.0915639133209995,2919.692839321873,0.03632410257685519,1158.2644116207114,714035825.7147076,317874229.73271435,189400397.09024718,114748828.0039134,8-10%,9.0,9.101941747572816
Gujarat,Medium,Fixed_25,Reference,2045,Silicon,1119.8442556634304,7300.04854368932,1210.0,0.01,1528.2467764005532,0.25,0.75,1146.185082300415,1711398.3737883146,1283548.780341236,0.5702860268119245,731989.934160095,0.39573395701665043,507943.83786833275,0.2765083330108392,354911.93359025096,8133138.5853724945,5054379.13684837,3718938.5795560456,2757937.2120775688,3-4%,3.5,3.539644012944984
Gujarat,Medium,Fixed_25,Reference,2060,Silicon,5775.085458428213,229620.3181222584,1210.0,0.01,1774.247063545318,0.25,0.75,1330.6852976589885,10246428.416339524,7684821.312254643,0.3660448997426385,2812989.6467843424,0.19035479962020585,1462842.62101132,0.1002193446977227,770167.7560332537,285466079.8533712,128422587.49986012,76914311.60057002,46783895.57613404,3-4%,3.5,3.539644012944984
Gujarat,Medium,Fixed_25,Reference,2075,Silicon,9.674583709957512,241037.62995736155,1210.0,0.01,2059.8457599324956,0.25,0.75,1544.8843199493717,19928.150234067973,14946.11267555098,0.2349502921834461,3511.59354012741,0.0915639133209995,1368.5245655100418,0.03632410257685519,542.9041299519494,301102999.16574645,133684446.63007231,79510578.60037814,48084129.08827994,3-4%,3.5,3.539644012944984
Gujarat,Medium,Fixed_25,Reference,2045,Silver,17.597552588996763,114.71504854368932,1946085.0,0.015,2946844.7075297576,0.05,0.95,2799502.4721532697,51857254.71236169,49264391.97674361,0.5702860268119245,28094794.363722365,0.39573395701665043,19495592.776976075,0.2765083330108392,13622014.902281938,307859769.2559456,191163226.4103242,140578517.1678714,104195859.61569396,0.03-0.08%,0.055,0.0556229773462783
Gujarat,Medium,Fixed_25,Reference,2060,Silver,90.75134291815765,3608.3192847783457,1946085.0,0.015,3684239.748804414,0.05,0.95,3500027.761364193,334349704.83645636,317632219.5946335,0.3660448997426385,116267653.97654936,0.19035479962020585,60462817.513857685,0.1002193446977227,31832892.902657326,11413357659.020437,5123685122.167307,3064124330.6390243,1860916002.8928547,0.03-0.08%,0.055,0.0556229773462783
Gujarat,Medium,Fixed_25,Reference,2075,Silver,0.1520291725850465,3787.734185044252,1946085.0,0.015,4606154.675197912,0.05,0.95,4375846.9414380165,700269.8840690822,665256.3898656281,0.2349502921834461,156302.18317583384,0.0915639133209995,60913.47841789742,0.03632410257685519,24164.841345387445,12069101370.503376,5344184623.0258875,3172874929.471973,1915357975.2189503,0.03-0.08%,0.055,0.0556229773462783
Gujarat,Medium,Fixed_25,Upside,2045,Aluminium,4159.421521035599,27114.46601941748,2338.0,0.02,4056.451409660822,0.1,0.9,3650.8062686947396,16872491.292378414,15185242.163140573,0.5702860268119245,8659931.419394352,0.39573395701665043,6009315.9694757,0.2765083330108392,4198845.99689591,93606018.21523923,58076444.651463225,42685443.54491409,31621244.397000674,12-14%,13.0,13.147249190938512
Gujarat,Medium,Fixed_25,Upside,2060,Aluminium,21450.31741701908,852875.4673112454,2338.0,0.02,5459.449518212785,0.1,0.9,4913.504566391506,117106925.08785611,105396232.57907051,0.3660448997426385,38579753.38765767,0.19035479962020585,20062678.73331358,0.1002193446977227,10562741.362683218,3665203197.9178767,1641974154.9756267,980530670.2841417,594602217.3998213,12-14%,13.0,13.147249190938512
