region,capacity_scenario,lifetime_scenario,year,metric,Glass_tonnes,Aluminium_tonnes,Polymers_tonnes,Silicon_tonnes,Copper_tonnes,Silver_tonnes,Zinc_tonnes,Lead_tonnes,Tin_tonnes,Other_tonnes
Gujarat,High,Early_Loss,2045,annual,164371.65415251025,30526.164342609045,21133.49839103703,8218.582707625512,7044.49946367901,129.1491568341152,152.6308217130452,70.4449946367901,70.4449946367901,469.6332975786007
Gujarat,High,Early_Loss,2045,cumulative,1348898.7336831912,250509.76482687835,173429.83718783886,67444.93668415956,57809.94572927962,1059.849005036793,1252.5488241343917,578.0994572927963,578.0994572927963,3853.9963819519753
Gujarat,Conservative,Regular_Loss,2045,annual,56728.78800188315,10535.346343206871,7293.701314527833,2836.4394000941575,2431.2337715092776,44.572619144336755,52.67673171603435,24.312337715092777,24.312337715092777,162.08225143395185
Gujarat,Conservative,Regular_Loss,2045,cumulative,280373.60829017044,52069.38439674593,36048.03535159334,14018.68041450852,12016.011783864446,220.29354937084818,260.34692198372966,120.16011783864447,120.16011783864447,801.0674522576298
Gujarat,Medium,Regular_Loss,2045,annual,70612.8223825796,13113.809871050496,9078.791449188804,3530.64111912898,3026.2638163962683,55.48150330059825,65.56904935525247,30.262638163962684,30.262638163962684,201.75092109308457
Gujarat,Medium,Regular_Loss,2045,cumulative,327551.3649960343,60830.967784977795,42113.74692806155,16377.568249801714,14037.915642687183,257.36178678259836,304.15483892488896,140.37915642687184,140.37915642687184,935.8610428458123
Gujarat,High,Regular_Loss,2045,annual,81373.04006778078,15112.136012587858,10462.24800871467,4068.652003389039,3487.41600290489,63.935960053256316,75.56068006293928,34.8741600290489,34.8741600290489,232.49440019365937
Gujarat,High,Regular_Loss,2045,cumulative,362260.7473924989,67276.99594432123,46576.381807606995,18113.037369624944,15525.460602535666,284.63344437982056,336.3849797216061,155.25460602535668,155.25460602535668,1035.0307068357113
India,Conservative,Fixed_25,2045,annual,273749.3426375405,50839.16363268609,35196.34405339806,13687.467131877023,11732.11468446602,215.08876921521036,254.19581816343043,117.3211468446602,117.3211468446602,782.1409789644014
India,Conservative,Fixed_25,2045,cumulative,1709456.7758899676,317470.5440938511,219787.29975728155,85472.83879449838,73262.43325242717,1343.1446096278316,1587.3527204692555,732.6243325242718,732.6243325242718,4884.162216828479
