region,capacity_scenario,lifetime_scenario,year,material,source_range,raw_midpoint_weight_percent,normalized_weight_percent,annual_material_tonnes,cumulative_material_tonnes
India,High,Early_Loss,2045,Zinc,0.03-0.10%,0.065,0.06573624595469256,1213.7899811796108,8520.811584120796
India,High,Early_Loss,2045,Lead,0.01-0.05%,0.03,0.03033980582524272,560.2107605444357,3932.6822695942137
India,High,Early_Loss,2045,Tin,0.01-0.05%,0.03,0.03033980582524272,560.2107605444357,3932.6822695942137
India,High,Early_Loss,2045,Other,<0.20%,0.2,0.2022653721682848,3734.738403629572,26217.881797294758
India,High,Regular_Loss,2045,Glass,68-72%,70.0,70.79288025889969,466014.9845987233,2155710.6697883713
India,High,Regular_Loss,2045,Aluminium,12-14%,13.0,13.147249190938512,86545.63999690575,400346.26724641176
India,High,Regular_Loss,2045,Polymers,8-10%,9.0,9.101941747572816,59916.212305550136,277162.800401362
India,High,Regular_Loss,2045,Silicon,3-4%,3.5,3.5396440129449838,23300.749229936166,107785.53348941857
India,High,Regular_Loss,2045,Copper,2-4%,3.0,3.033980582524272,19972.07076851671,92387.60013378733
India,High,Regular_Loss,2045,Silver,0.03-0.08%,0.055,0.05562297734627832,366.15463075613974,1693.7726691194343
India,High,Regular_Loss,2045,Zinc,0.03-0.10%,0.065,0.06573624595469256,432.72819998452877,2001.7313362320588
India,High,Regular_Loss,2045,Lead,0.01-0.05%,0.03,0.03033980582524272,199.72070768516716,923.8760013378734
India,High,Regular_Loss,2045,Tin,0.01-0.05%,0.03,0.03033980582524272,199.72070768516716,923.8760013378734
India,High,Regular_Loss,2045,Other,<0.20%,0.2,0.2022653721682848,1331.471384567781,6159.173342252489
Gujarat,Conservative,Fixed_25,2045,Glass,68-72%,70.0,70.79288025889969,22396.885113268607,146000.9708737864
Gujarat,Conservative,Fixed_25,2045,Aluminium,12-14%,13.0,13.147249190938512,4159.421521035599,27114.466019417476
Gujarat,Conservative,Fixed_25,2045,Polymers,8-10%,9.0,9.101941747572816,2879.5995145631064,18771.55339805825
Gujarat,Conservative,Fixed_25,2045,Silicon,3-4%,3.5,3.5396440129449838,1119.8442556634304,7300.0485436893205
Gujarat,Conservative,Fixed_25,2045,Copper,2-4%,3.0,3.033980582524272,959.8665048543688,6257.184466019417
Gujarat,Conservative,Fixed_25,2045,Silver,0.03-0.08%,0.055,0.05562297734627832,17.597552588996763,114.71504854368932
Gujarat,Conservative,Fixed_25,2045,Zinc,0.03-0.10%,0.065,0.06573624595469256,20.79710760517799,135.57233009708736
Gujarat,Conservative,Fixed_25,2045,Lead,0.01-0.05%,0.03,0.03033980582524272,9.598665048543689,62.571844660194174
Gujarat,Conservative,Fixed_25,2045,Tin,0.01-0.05%,0.03,0.03033980582524272,9.598665048543689,62.571844660194174
Gujarat,Conservative,Fixed_25,2045,Other,<0.20%,0.2,0.2022653721682848,63.9911003236246,417.1456310679612
Gujarat,Conservative,Early_Loss,2045,Glass,68-72%,70.0,70.79288025889969,75279.07899876716,742742.9229103962
